[2017-04-13 09:47:09] <Sedat Gokcen> https://twitter.com/can_sirius/status/852416323250466818
[2017-04-13 10:29:14] <Sedat Gokcen> [Tweet] https://twitter.com/ThePracticalDev/status/809116524942344192
[2017-04-13 10:47:17] <Sedat Gokcen> [Tweet] https://twitter.com/mertbulan/status/851855042252558336
[2017-04-13 17:17:11] <Sedat Gokcen> [Tweet] https://twitter.com/otsindrek/status/852507976653045760
[2017-04-14 13:23:23] <Sedat Gokcen> [Tweet] https://twitter.com/daolszewski/status/852841007381131264
[2017-04-14 17:43:41] <Sedat Gokcen> [Tweet] https://twitter.com/snicoll/status/852843722551197696
[2017-04-14 17:45:52] <Sedat Gokcen> [Tweet] https://twitter.com/ThePracticalDev/status/852900742998392832
[2017-04-14 20:08:12] <Sedat Gokcen> [Tweet] https://twitter.com/acemarke/status/852944812139347968
[2017-04-14 20:09:49] <Sedat Gokcen> [Tweet] https://twitter.com/higagan/status/852941125329403904
[2017-04-14 21:55:29] <Sedat Gokcen> [Tweet] https://twitter.com/mak_cen/status/852113081014550528
[2017-04-14 21:57:39] <Sedat Gokcen> [Tweet] https://twitter.com/HBK_Obradovic/status/852958892388749318
[2017-04-14 21:59:27] <Sedat Gokcen> [Tweet] https://twitter.com/nuttycom/status/852940383684354048
[2017-04-14 22:04:53] <Sedat Gokcen> [Tweet] https://twitter.com/JavaScriptDaily/status/852951339344814081
[2017-04-14 22:05:03] <Sedat Gokcen> https://twitter.com/AuguriSarban/status/852888091056414720
[2017-04-14 22:44:17] <Sedat Gokcen> [Tweet] https://twitter.com/stoyanstefanov/status/852816080066142209
[2017-04-15 08:27:10] <Sedat Gokcen> [Tweet] https://twitter.com/ThePracticalDev/status/849610060066164737
[2017-04-16 01:09:10] <Sedat Gokcen> [Tweet] https://twitter.com/mstine/status/853348174055997440
[2017-04-16 01:10:23] <Sedat Gokcen> [Tweet] https://twitter.com/ThePracticalDev/status/853378324801957888
[2017-04-16 11:02:36] <Sedat Gokcen> [Tweet] https://twitter.com/lukaseder/status/853528646094643201
[2017-04-16 11:07:20] <Sedat Gokcen> [Tweet] https://twitter.com/ThePracticalDev/status/843527662358401024
[2017-04-17 11:14:10] <Sedat Gokcen> [Tweet] https://twitter.com/nipafx/status/853895812245405696
[2017-04-17 11:21:20] <Sedat Gokcen> [Tweet] https://twitter.com/ThePracticalDev/status/851520480041476097
[2017-04-17 14:51:14] <Sedat Gokcen> [Tweet] https://twitter.com/raquelpau/status/853871593763811328
[2017-04-17 21:22:31] <Sedat Gokcen> [Tweet] https://twitter.com/ThePracticalDev/status/854040010672283649
[2017-04-17 21:27:42] <Sedat Gokcen> [Tweet] https://twitter.com/higagan/status/854035640060596224
[2017-04-18 10:13:02] <Sedat Gokcen> [Tweet] https://twitter.com/agoncal/status/854242890251464704
[2017-04-18 10:14:37] <Sedat Gokcen> [Tweet] https://twitter.com/nipafx/status/854241592395399169
[2017-04-18 20:34:26] <Sedat Gokcen> [Tweet] https://twitter.com/VilleImmonen/status/854335136900550656
[2017-04-18 23:09:44] <Sedat Gokcen> [Tweet] https://twitter.com/mamund/status/851874242224324608
[2017-04-19 10:18:15] <Sedat Gokcen> [Tweet] https://twitter.com/ThePracticalDev/status/854501551305621505
[2017-04-20 00:54:20] <Sedat Gokcen> [Tweet] https://twitter.com/xxxmikro/status/854247083372670978
[2017-04-21 11:45:04] <Sedat Gokcen> [Tweet] https://twitter.com/snicoll/status/855356244588191745
[2017-04-22 12:15:57] <Sedat Gokcen> [Tweet] https://twitter.com/ThePracticalDev/status/851101637645094912
[2017-04-28 14:13:15] <Sedat Gokcen> [Tweet] https://twitter.com/dret/status/857927174506065920
[2017-05-01 18:16:42] <Sedat Gokcen> [Tweet] https://twitter.com/hoodmapsapp/status/858699467293204480
[2017-05-01 18:16:52] <Sedat Gokcen> [Tweet] https://twitter.com/hoodmapsapp/status/858879656128200704
[2017-05-02 21:04:17] <Sedat Gokcen> [Tweet] https://twitter.com/rstoya05/status/859464424201089025
[2017-05-02 21:06:10] <Sedat Gokcen> [Tweet] https://twitter.com/overopshq/status/859474349790826497
[2017-05-03 01:39:59] <Sedat Gokcen> [Tweet] https://twitter.com/fjmubeen/status/859120258208157696
[2017-05-03 18:54:24] <Sedat Gokcen> [Tweet] https://twitter.com/arungupta/status/859809236326391809
[2017-05-05 16:39:41] <Sedat Gokcen> [Tweet] https://twitter.com/java/status/860117432802869249
[2017-05-05 16:40:34] <Sedat Gokcen> [Tweet] https://twitter.com/pml0pes/status/860437784653443073
[2017-05-08 03:57:43] <Sedat Gokcen> [Tweet] https://twitter.com/acemarke/status/861397749853564928
[2017-05-08 22:37:59] <Sedat Gokcen> [Tweet] https://twitter.com/ThePracticalDev/status/861665782882816000
[2017-05-16 12:24:55] <Sedat Gokcen> [Tweet] https://twitter.com/JS_Cheerleader/status/864366568033013761
[2017-05-16 14:34:00] <Sedat Gokcen> [Tweet] https://twitter.com/Hurriyet/status/864443770229673984
[2017-05-19 09:04:34] <Sedat Gokcen> [Tweet] https://twitter.com/gokmen/status/865430139022090240
[2017-05-19 09:06:23] <Sedat Gokcen> [Tweet] https://twitter.com/puffnfresh/status/864801765123702785
[2017-05-19 09:09:35] <Sedat Gokcen> [Tweet] https://twitter.com/olivergierke/status/865458496027803650
[2017-05-19 20:07:56] <Sedat Gokcen> [Tweet] https://twitter.com/eksiseyler/status/865628384738459651
[2017-05-19 21:34:02] <Sedat Gokcen> [Tweet] https://twitter.com/ThePracticalDev/status/865650862433026050
[2017-05-20 01:51:57] <Sedat Gokcen> [Tweet] https://twitter.com/starbuxman/status/865716572215799809
[2017-05-20 10:36:41] <Sedat Gokcen> https://twitter.com/Kdp_11/status/864551379108495360
[2017-05-20 15:22:23] <Sedat Gokcen> [Tweet] https://twitter.com/gregturn/status/865919877101404160
[2017-05-21 23:30:41] <Sedat Gokcen> [Tweet] https://twitter.com/SocratesDergi/status/866400236226400257
[2017-05-22 09:39:45] <Sedat Gokcen> [Tweet] https://twitter.com/abagis/status/866412001639190528
[2017-05-24 16:27:24] <Sedat Gokcen> [Tweet] https://twitter.com/nitsanw/status/867377848813748224
[2017-05-25 01:42:09] <Sedat Gokcen> [Tweet] https://twitter.com/JavaScriptDaily/status/867508762524995584
[2017-05-25 10:19:32] <Sedat Gokcen> [Tweet] https://twitter.com/bibryam/status/867647427708375040
[2017-05-26 13:36:54] <Sedat Gokcen> [Tweet] https://twitter.com/waxzce/status/868057893442072576
[2017-05-27 23:09:09] <Sedat Gokcen> [Tweet] https://twitter.com/newsycombinator/status/868572948436848640
[2017-05-29 00:16:58] <Sedat Gokcen> [Tweet] https://twitter.com/ThePracticalDev/status/868829738076438528
[2017-05-29 14:09:37] <Sedat Gokcen> [Tweet] https://twitter.com/ThePracticalDev/status/869156380183318529
[2017-05-30 11:52:51] <Sedat Gokcen> [Tweet] https://twitter.com/programmableweb/status/869489842496950273
[2017-05-30 20:36:47] <Sedat Gokcen> [Tweet] https://twitter.com/overopshq/status/869621187944611843
[2017-05-31 16:40:59] <Sedat Gokcen> [Tweet] https://twitter.com/adactio/status/869891960810635264
[2017-06-01 08:42:05] <Sedat Gokcen> [Tweet] https://twitter.com/mkipcak/status/870164503928950784
[2017-06-01 18:34:33] <Sedat Gokcen> [Tweet] https://twitter.com/ThePracticalDev/status/870310224728555520
[2017-06-02 11:56:34] <Sedat Gokcen> [Tweet] https://twitter.com/coda/status/870086962908086274
[2017-06-03 16:19:20] <Sedat Gokcen> [Tweet] https://twitter.com/java/status/871005554067591168
[2017-06-04 15:22:20] <Sedat Gokcen> [Tweet] https://twitter.com/ThePracticalDev/status/871351085654560772
[2017-06-04 21:19:56] <Sedat Gokcen> [Tweet] https://twitter.com/lewandm4/status/871440584153726977
[2017-06-04 21:45:34] <Sedat Gokcen> https://twitter.com/LauritaApplez/status/870970420681486339
[2017-06-05 16:32:25] <Sedat Gokcen> [Tweet] https://twitter.com/aalmiray/status/867845021948682241
[2017-06-06 03:52:51] <Sedat Gokcen> [Tweet] https://twitter.com/ThePracticalDev/status/871834264538624000
[2017-06-06 13:26:38] <Sedat Gokcen> [Tweet] https://twitter.com/SolidSoftBlog/status/871998649517080576
[2017-06-06 20:57:28] <Sedat Gokcen> [Tweet] https://twitter.com/FatihDirlikli/status/841036027213037572
[2017-06-06 20:59:45] <Sedat Gokcen> [Tweet] https://twitter.com/FatihDirlikli/status/839176349097013248
[2017-06-06 21:38:54] <Sedat Gokcen> [Tweet] https://twitter.com/coda/status/870086962908086274
